n_samples,n_groups,max,distribution,simulation,distribution_truth,distribution_pred,varied,99_perc
600,8,0.05611111111111114,uniform,class_shift_diff,,,,0.043820138888888895
800,8,0.04609374999999998,uniform,class_shift_diff,,,,0.038230729166666665
1000,8,0.038583333333333344,uniform,class_shift_diff,,,,0.03063541666666665
20,20,0.3,uniform,class_shift_diff,,,,0.22083333333333333
40,20,0.19416666666666668,uniform,class_shift_diff,,,,0.16626249999999998
60,20,0.16611111111111113,uniform,class_shift_diff,,,,0.12835833333333327
80,20,0.13291666666666666,uniform,class_shift_diff,,,,0.11335416666666666
100,20,0.118,uniform,class_shift_diff,,,,0.10300499999999996
120,20,0.1088888888888889,uniform,class_shift_diff,,,,0.0901486111111111
140,20,0.12011904761904761,uniform,class_shift_diff,,,,0.08500714285714285
160,20,0.10895833333333331,uniform,class_shift_diff,,,,0.08105104166666666
180,20,0.09509259259259258,uniform,class_shift_diff,,,,0.07621111111111113
200,20,0.08883333333333335,uniform,class_shift_diff,,,,0.07283666666666665
220,20,0.08901515151515149,uniform,class_shift_diff,,,,0.06833863636363634
240,20,0.08611111111111111,uniform,class_shift_diff,,,,0.06647152777777776
260,20,0.08224358974358972,uniform,class_shift_diff,,,,0.06346858974358972
280,20,0.08107142857142856,uniform,class_shift_diff,,,,0.06250476190476191
300,20,0.07238888888888892,uniform,class_shift_diff,,,,0.059282222222222195
400,20,0.06024999999999998,uniform,class_shift_diff,,,,0.04922458333333332
600,20,0.05452777777777777,uniform,class_shift_diff,,,,0.04498083333333333
800,20,0.04749999999999997,uniform,class_shift_diff,,,,0.03761354166666663
1000,20,0.04266666666666667,uniform,class_shift_diff,,,,0.032368499999999994
20,30,0.2994444444444444,uniform,class_shift_diff,,,,0.22389444444444445
40,30,0.19888888888888892,uniform,class_shift_diff,,,,0.17473611111111112
60,30,0.1638888888888889,uniform,class_shift_diff,,,,0.13074074074074074
80,30,0.13597222222222222,uniform,class_shift_diff,,,,0.11682361111111106
100,30,0.12188888888888888,uniform,class_shift_diff,,,,0.10500888888888887
120,30,0.10722222222222223,uniform,class_shift_diff,,,,0.09187314814814813
140,30,0.12444444444444443,uniform,class_shift_diff,,,,0.0855595238095238
160,30,0.10854166666666665,uniform,class_shift_diff,,,,0.08049652777777777
180,30,0.10049382716049383,uniform,class_shift_diff,,,,0.07477592592592593
200,30,0.0888888888888889,uniform,class_shift_diff,,,,0.07141166666666662
220,30,0.09207070707070705,uniform,class_shift_diff,,,,0.06790353535353531
240,30,0.0850462962962963,uniform,class_shift_diff,,,,0.06699120370370368
260,30,0.08042735042735041,uniform,class_shift_diff,,,,0.06458034188034188
280,30,0.08353174603174601,uniform,class_shift_diff,,,,0.0620670634920635
300,30,0.07292592592592595,uniform,class_shift_diff,,,,0.05904851851851849
400,30,0.06130555555555554,uniform,class_shift_diff,,,,0.0512547222222222
600,30,0.0561666666666667,uniform,class_shift_diff,,,,0.04579648148148148
800,30,0.04688888888888886,uniform,class_shift_diff,,,,0.039000555555555524
1000,30,0.04325555555555556,uniform,class_shift_diff,,,,0.03318188888888893
20,2,0.20833333333333337,sparse,class_shift_diff,,,,0.15833333333333335
40,2,0.13750000000000004,sparse,class_shift_diff,,,,0.11249999999999999
60,2,0.11666666666666668,sparse,class_shift_diff,,,,0.09722222222222221
80,2,0.10416666666666663,sparse,class_shift_diff,,,,0.08127083333333336
100,2,0.09833333333333333,sparse,class_shift_diff,,,,0.07499999999999998
120,2,0.09027777777777779,sparse,class_shift_diff,,,,0.07222222222222219
140,2,0.08333333333333331,sparse,class_shift_diff,,,,0.06310714285714285
160,2,0.07291666666666669,sparse,class_shift_diff,,,,0.05626041666666668
180,2,0.0648148148148148,sparse,class_shift_diff,,,,0.05462962962962961
200,2,0.06499999999999995,sparse,class_shift_diff,,,,0.05499999999999999
220,2,0.05833333333333335,sparse,class_shift_diff,,,,0.04924999999999995
240,2,0.05555555555555554,sparse,class_shift_diff,,,,0.045145833333333385
260,2,0.05320512820512818,sparse,class_shift_diff,,,,0.04616025641025641
280,2,0.06190476190476192,sparse,class_shift_diff,,,,0.04345238095238091
300,2,0.055555555555555525,sparse,class_shift_diff,,,,0.04223888888888887
400,2,0.04375000000000001,sparse,class_shift_diff,,,,0.034591666666666625
600,2,0.0427777777777778,sparse,class_shift_diff,,,,0.03305555555555556
800,2,0.0345833333333333,sparse,class_shift_diff,,,,0.02646041666666664
1000,2,0.028999999999999998,sparse,class_shift_diff,,,,0.024836666666666677
20,3,0.25000000000000006,sparse,class_shift_diff,,,,0.17222222222222217
40,3,0.16944444444444443,sparse,class_shift_diff,,,,0.13888888888888887
